Sample,10A Pre,10B Post,11A Pre,11B Post,12A Pre,12B Post,13A Pre,13B Post,14A Pre,14B Post ,15A Pre,15B Post,16A Pre,16B Post,17A Pre,17B Post ,18A,18B,19A,19B,20A,20B,21A,21B,22A,22B,23A,23B,24A,24B,25A,25B,27A,27B,28A,28B,29A,29B,2A,2B,30A,30B,31A,31B,33A,33B,34A,34B,35A,35B,36A,36B,37A,37B,38A,38B,39A,39B,40A,40B,41A,41B,42A,42B,43A,43B,44A,44B,45A,45B,46A,4B,47A,47B,48A,48B,49A,49B,4A,4B,50A,50B,51A,51B,52A,52B,53A,53B,55A,55B,56A,56B,57A,57B,58A,58B,59A,59B,5A,5B,60A,60B,63A,63B,64A,64B,65A,65B,68A,68B,69A,69B,8A,8B,9A,9B
TNF,47,5.4,45,5.8,22.2,24.9,22.3,19.7,5.3,6.8,9.9,13.6,11.1,10.7,4.1,8.1,6,5.4,6.8,6.2,6.9,4.2,4.5,4.4,6.5,9.3,6.7,5,23.8,17.3,29.7,5.5,6.1,6.5,21.8,7.3,9.4,18.9,6.7,6.1,7.4,6.2,4.7,24,10.7,29.8,9.6,5.7,86.6,39.5,80.5,37.3,47.4,30.4,16.3,12.3,30.9,7.8,4.7,39.8,10.6,14.7,14.5,37.1,6.1,19.8,31.7,16.3,11.5,27.4,10.1,10.2,14,16.2,47.6,51.3,4.3,5.1,25.7,38.2,15.1,8.3,82.5,45.4,29.1,39.2,8.9,45.9,22.1,21.5,11.4,26.2,58.5,13,6.2,9.1,7.9,8,17.4,7.7,56.2,38.6,19.6,36.1,25.9,55.7,10.7,7.8,50,19.9,6.4,12.6,6,12.9,30.9,6
CXCR3,6.2,2.8,10.5,14.8,4.4,13.8,10.4,35.6,5.7,3.6,1.9,22.1,2.5,6.6,2.3,18,11.4,2.6,5,14.8,22.5,12.6,3.4,3.7,2.9,4,3.2,2.4,16.2,3.5,3.8,14.4,7.5,2.5,3.3,24.7,22.1,42,12.8,22.3,66.7,34.3,5,33.8,6,9,9.7,4,15.1,5.6,20.8,6.5,38.9,6,24.3,21.8,39.3,14.5,4.6,18.8,4,6.2,4.4,4.3,25.5,19.6,6.3,4.2,10.4,55.2,32.5,15.1,23.8,58.8,65.8,59.2,9.8,18.2,77.2,19.2,5.8,23.2,65.1,62.2,21.7,36.7,6.5,4.3,15.3,27.4,6.8,5.3,8.6,10.2,12.3,8.4,24.3,5.1,21.3,19.6,43.6,8,6.5,4.2,11.6,5.1,49.1,15.6,29.5,5.2,4.7,32,3.4,5.8,3.4,16.5
P2RX7,25.4,33.9,19.5,23.8,19.6,49.3,16.8,31.8,23.6,11.9,23,44.9,16.5,45.9,10.1,20,58.4,15,14.4,10.4,31.5,39.5,16.9,31.3,31.6,49.7,9.1,17.2,12,7.7,19.3,8.4,16.4,26.6,18.7,13.2,26.4,29,38.5,19,67.7,42.2,32.6,47.7,42.6,35.7,29,25.4,28.6,51,36.7,89.6,41.5,45.4,29.2,23,23,17.8,13,36.5,49.9,17.7,12.1,12.3,13.7,21.5,51.3,29.2,27.6,33.9,23.3,40.3,38.7,30.8,61.5,43.9,8,12.9,46.1,42.7,21.8,19.4,39.4,39.3,26.1,22.3,27.5,34.8,21.2,21.1,59,25.3,48,33.5,22.1,30.7,17.8,22.9,19.2,19.9,45.4,37.1,32.3,30.3,32.5,53.5,24.2,28.5,60.7,9,35.7,54,15.2,25.6,28.9,41.7
CASP1,84,39.8,71.1,61.2,40.3,112.9,86,180.8,53,55.5,89.4,24.2,59.1,98,19.9,26.8,88.9,84.4,46.2,11.6,101.2,36.7,93.3,37.5,19,17.5,39.8,34.8,173.6,167.3,17.7,13.6,64,72.5,87.3,13,114.8,136.8,93.7,80.4,74.5,47.9,48.6,132.8,23.5,118.1,140.4,100,92.7,84.4,17.5,46.5,164.8,143.9,75.5,111.8,228.3,222.6,98.2,62.3,50.2,21.3,93.5,69.8,18.4,23.9,181.5,128.6,25.5,74.5,35.5,22.9,31.9,60.1,213.3,244.1,79.4,63.3,146.6,182.2,98.3,47.9,116.7,34.9,169,126.1,26.2,110.7,115.2,119.5,131.3,99.4,153.3,165.8,89.5,195.9,140,38.1,78.4,48.9,103.2,155.5,142.1,73.5,161.8,186.5,177.1,98.1,57.6,40.5,84.9,77.1,42.9,59.8,80.2,50.3
NLRP3,86.1,88.7,96.3,116.7,85.3,45.9,90.8,59.9,94,52.8,74.9,84.9,57,50.7,53.7,93.9,114.9,50.7,57.6,64.8,79.6,57.3,75.4,77.7,94,99.4,61.7,67.9,71.1,64.7,105.8,85.8,77.2,74.3,47.8,50.1,164.4,149.2,83.3,105.7,136.8,135.2,77.9,145.1,162.1,146.9,133.9,69.5,165.9,159.6,72.4,67.9,264.4,127.5,84.4,64.8,79,89.9,109.2,183.2,81.9,114,71.2,91.2,63.9,104.4,152.6,114.1,119.8,161.1,101.6,114.8,189.2,135.4,429.2,250.5,37.6,42.7,152.9,136.5,115.8,93.2,274.3,98,106.2,91,122.8,103.6,94,62.5,152.8,155.2,155.4,127.8,111.8,185.2,95.4,96.9,97.1,92.7,400,311.8,119.4,101,245.6,241.4,170.5,58.2,99.8,63.2,85,119.8,135.3,147.2,90.9,64.7
IL1B,339.2,467.1,307.1,334.3,240.4,234,281.3,313.5,248.7,182.6,224.1,205.2,243.2,174.5,152,190.9,242.2,221.7,168.1,210.2,227.4,257.6,252.5,180.4,183.8,210.1,167.2,262.3,264.3,338.2,206.7,152.4,175.7,165,184.4,232.8,215.1,206,222,174.6,145,207,172.2,180.5,190.8,187.8,264.1,247.5,231.7,207.8,180.5,226.8,305.6,354.2,234.5,178.9,169.2,200.3,188.3,162.7,168.9,134.4,186.9,187.6,198.1,199.8,273.7,220.5,180.2,209.9,231.2,196.3,221.8,190,272.9,222.2,227.9,377.7,213.9,207,205.1,216.6,217.8,229.7,224.3,241.5,201,268.2,136.6,141.3,190.9,205.9,296.7,264.4,200,228.5,324.2,205.8,127.8,145.3,291,234.1,183.2,179,176.5,182.3,167.5,124.4,218.8,116.2,221,305.6,171.8,262.4,264.3,198
LY96,39.4,15.6,32.7,7.3,39.3,8.8,38.8,33.1,29.8,30.3,34.2,30.4,7.3,22.1,13.4,20,30.5,23.1,35.2,34,17.3,25.6,6.9,7.8,32.5,11.5,17.1,14.1,20.4,7.5,30.4,20.9,62.2,45,21.8,26.6,49.4,91.1,26.5,25.7,62,87.7,72.8,119.1,81.9,45.1,80.1,61.1,82.8,66.6,70.5,46.5,145.9,44.2,51.2,82.4,45.4,12.1,72.1,81.6,55,37.2,51.3,14.2,49.9,81.9,82.9,80.5,37.7,85.8,22.9,41.7,17.8,56.8,20.1,135.4,16.5,34.6,54.9,161.8,45.8,43.2,340.5,105.1,56.8,42.4,35.7,47.5,39.3,30.1,56.6,62.4,543.9,312.9,39.8,60.5,42.5,65.9,59.9,49.5,202.6,194.3,159.8,127.5,104.2,113.5,67.8,39.2,37.4,35.4,7.7,30.9,10.3,55.1,15.9,2.7
CD4+,338.9,247.4,420.1,306.2,317,368.1,241.2,308.2,440,443.9,437.7,418.9,351.8,284.6,339.1,378.1,378.9,252.2,324.5,367.3,154,310.1,376.7,297.7,477.8,386,403.7,370.1,376.6,285.6,527.3,247.8,486.7,400.5,473.7,441.3,171.3,195,355.5,302.6,199.4,322.2,200.7,369.5,242.4,224,612.4,409.8,860.3,335.5,230.8,132.9,547.3,375.7,166.6,140.5,294.3,328.7,132.5,70.2,243.7,222.1,268.5,199.4,184.4,69.5,347.6,333.1,141.6,232.7,125.9,159.2,264.7,151.9,318.1,236.5,322,360.1,199.7,379.2,336.6,328.4,264.3,217.2,182.9,146.3,260.7,170.6,98.1,61,135.7,280.6,212.9,282.2,232,372.9,304,354.4,283.3,150.4,509.7,225.3,332.5,241.5,156.5,198.1,170.6,109.2,153.5,139.4,247.5,261,287.6,373.8,368.5,338.8
CD8+A ,113.1,61.7,69.1,62,102,96.7,109.2,71.9,69.3,77.8,56.5,85,67.6,96.6,44.7,70.3,54.7,69.2,56.5,76.7,73.9,70.8,91.6,48.2,78.2,40.3,45.1,61.2,66.1,57.8,68.1,52,64.2,37.3,74.3,64.3,108.1,153.7,169.9,111.7,137.8,152.6,91.6,166.5,133,133.9,165.7,126.5,210.8,107.9,72.7,95,158.3,154,158.2,104.2,79.1,75,86.2,221.1,71.5,68.5,118.9,129.1,44,84.6,163.8,156.8,137.5,146.6,135.1,54.5,145.7,108.3,285.8,204.6,70.3,97.9,101.5,140,134.5,127.4,200.9,238.3,129.6,97.6,80.7,101.3,81.8,84.9,125.2,140.2,191.5,186.2,64.8,134.6,103.3,90.8,85.3,94.2,307.8,191.3,192.4,137,174.7,263.1,173.4,90.4,111.7,84.6,61.9,112.2,59.1,104.7,65,50.1
CD8+B,17.5,47.2,20,48.2,91.9,140.9,20,18.8,82.2,27.9,64.6,103,23.4,73.5,52.1,10.8,38.5,31.9,67.1,80.8,76.9,78.3,12.8,36.2,13,50.2,45,39.4,29.3,12.4,51.4,29.7,41,27.8,70,22.9,79.1,82.4,42.7,24.7,23.9,70.2,143.6,54.3,170.3,148.9,124.7,154.8,17.8,43,103.3,118,117.8,58,21.6,50.4,63.5,46.8,53,84.9,32.8,22.2,12.5,38.6,35.3,17.4,96.8,132.1,67.7,65.8,108.9,90.7,62.8,36.9,39.4,34.9,10.1,40.7,60.8,42.5,17.4,63.8,30,47.8,85,61.1,49.8,54.2,85.1,75.8,72.8,85,158,137.3,57.2,134.1,19,39.1,14.5,26.4,102.9,130.2,74.4,102,108.8,166.7,151.3,215.6,81.1,42.8,11.8,13.7,44.8,62.2,77.8,145.1
PRF1,41.7,51.8,30.8,14.4,51.1,33.5,49.9,97.2,44.1,62.6,71.4,50.7,33.4,53.4,10.6,48.4,84.2,53.6,54.3,52.3,70.5,36.7,83.1,74.1,28.8,67.2,58.2,45.5,33,32.1,59.3,5.8,51.6,45.4,53.3,36.8,102.2,101.8,86.8,43.8,168.3,102.8,73.4,183.5,154.2,121.1,116,102.9,186.4,214.5,369.7,150.5,176.3,169.4,94.6,38,75.9,92.4,64.3,94,120.2,99.8,82.7,97,76.7,107.4,170.5,163.1,133.3,163.1,75.5,87.5,55.4,154.8,166.3,283.6,37.2,36.9,239.9,111.6,67.6,84.3,200.9,210.6,290.4,377.1,207.8,125,44.4,68.7,116.6,159.8,282.9,232.5,128.4,165.2,96.7,131,100.3,46.9,315.8,190.1,178.8,143.5,69.1,208.4,86,50.9,58,52.4,57,77.2,50.1,75.6,58.1,35.3
IFNG,5.5,5.2,5.9,2.8,4.4,3.6,5.9,25.3,6.8,7.5,4.9,3,3.6,5.7,13,6,4.8,26.9,15.7,12,4.1,5.3,2.8,12.3,4.8,19.9,19.7,30.6,12.8,3.1,5.6,6.7,4.7,11.1,3.8,2.8,4.6,4.3,19.4,11.9,8.7,11.6,7.5,4.2,9.6,4.6,7.6,30.3,4.5,5.5,4.7,73.9,12.2,7.6,9.6,8,6.2,8.7,40.1,14.1,47.2,29,3.3,3,6.2,9.5,8.3,6.3,7.6,8.4,8.7,15.5,8.3,7,4,6.9,4.7,2.2,8.7,5.6,3.7,4.2,7.2,9.7,6.3,8.8,6.6,5.2,6,15.8,6,4.3,11.2,9.4,8.3,6.7,3.3,4.4,13.1,4.5,5.6,8.4,7.8,20.6,6.7,18.2,7.7,2.9,3.7,4.1,4.3,3.8,8.3,13.2,12.2,16.7
IL17A,39.3,8.7,30.3,67.5,40.9,35.5,49.6,88,62.3,27.1,41,7.9,11.8,57.1,31.5,31.3,45.6,32.5,32.3,27.3,36,26.7,38.1,35.1,28.3,26.1,31.4,2,37,26.9,64,24.6,8.7,12.6,43.7,33.7,89.5,123.4,36.7,23,89.9,86.2,77.3,92.1,95.8,77.2,104.5,61.6,170.5,130.2,80,125.9,146.4,124.2,36,52,65,64,87.5,87.8,48.2,58.4,67.4,81.6,52.7,82.7,135,141.4,96.1,116.4,37.4,10.8,16,45.9,234.6,122.9,17.4,4.2,110.2,92.3,46.6,30.9,71.5,55.4,49.4,44,106.2,66.8,28.8,39.4,92.3,99.9,131,130.4,86.8,107.6,44.5,33.2,70.8,76.6,195.9,123.1,134.5,79.3,124.5,147.4,66.2,10.9,26.1,25.9,54,62.3,38.5,65.9,58.4,31.1
IL17RA,23.4,9.2,13.9,13.6,3.7,1.2,3.2,16.5,7,11.7,4.4,4.6,23.4,2,9.5,8.8,11.1,10.6,3.5,2.4,8.3,13.8,17.9,13.9,2.2,14.4,4.9,9.5,2.6,5.1,7.6,7.4,1.3,1.2,1.4,4.4,5,6.8,9.1,1.3,12.3,5,18,2.6,17.9,17.8,5,5,3.5,4.3,3.9,3.8,16.9,1.8,17.3,12.9,2.4,3.4,13,23.1,21.8,4.5,14.2,7.6,10,19.7,6.3,37.3,8.3,22.6,11.3,14.8,35.3,21.9,29,26.9,1.3,14.1,3,29.7,1.7,3.6,28.4,13.4,12.5,22.6,5,4.1,3.6,17.7,2.8,3.3,44.8,7.8,3.3,20.8,34.2,6.3,1.9,34.2,9.5,8.3,3.9,33.4,6.5,23.7,6.5,22.9,0.7,1.9,10.5,4.1,4.5,15.7,1.2,10.9
